Small Problems (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
20,50,10
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
877,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
877,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
878,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,878,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
877,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
877,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,586,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
586,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
877,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,586,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
1170,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
1170,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
877,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,877,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
586,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
878,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
