Tiny Problems (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
8,20,5
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
0,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
0,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
0,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
0,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
0,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
0,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
0,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
0,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
0,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
293,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
878,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
292,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
